word,mlu,dataset
heavy,7.2105263157894735,childes
uncle,8.068639053254438,childes
drive,8.01900097943193,childes
zoo,8.573604060913706,childes
shower,7.615384615384615,childes
kiss,5.83507682249101,childes
comb,7.57177033492823,childes
cold,7.541305046608808,childes
awake,6.389473684210526,childes
broken,6.810472396129767,childes
love,6.677924124732636,childes
bathtub,8.75,childes
party,8.69283276450512,childes
noisy,6.108808290155441,childes
pickle,14.674846625766872,childes
pool,8.5168,childes
camera,7.849098386586523,childes
brother,7.897445529676935,childes
sun,7.5573414422241525,childes
school,8.980676894249912,childes
sad,6.900990099009901,childes
kick,7.1567741935483875,childes
hit,7.960295670538542,childes
lollipop,5.732142857142857,childes
black,9.763066202090592,childes
beans,7.165048543689321,childes
carrots,6.5058823529411764,childes
beach,9.018181818181818,childes
salt,5.73109243697479,childes
asleep,7.108187134502924,childes
paint,7.453661697990927,childes
gum,7.95,childes
share,8.39,childes
radio,7.367272727272727,childes
noodles,6.296296296296297,childes
knife,7.435146443514644,childes
white,7.461495690853489,childes
garage,7.852903225806451,childes
peas,6.0931372549019605,childes
egg,8.168809119573126,childes
goose,5.8,childes
fork,7.262893081761006,childes
ladder,7.969827586206897,childes
slide,7.981712062256809,childes
gas,4.591390579220194,childes
dark,7.769097222222222,childes
bubbles,6.484276729559748,childes
jelly,5.404761904761905,childes
vitamins,7.775,childes
potato,5.8352941176470585,childes
cheek,5.674679487179487,childes
money,8.482448244824482,childes
bucket,5.879166666666666,childes
grass,8.240706319702602,childes
tractor,6.335984095427436,childes
yum,4.816291161178509,childes
sauce,8.213675213675213,childes
hug,7.016940707523667,childes
balloon,7.135855087906234,childes
church,8.80590717299578,childes
mouse,6.721635883905013,childes
zipper,7.117647058823529,childes
flag,6.487179487179487,childes
moon,10.386468952734013,childes
monkey,6.4657836644591615,childes
penguin,6.32183908045977,childes
deer,7.527744982290437,childes
purse,8.152582159624414,childes
necklace,7.292117465224111,childes
plant,9.167471819645733,childes
pajamas,7.728426395939087,childes
meat,7.524621212121212,childes
melon,4.4,childes
chicken,6.779564806054872,childes
grapes,5.638983050847457,childes
meow,3.4081632653061225,childes
teacher,8.198880757640982,childes
clap,5.301735082522217,childes
bathroom,9.714285714285714,childes
alligator,6.08256880733945,childes
park,9.451612903225806,childes
belt,10.627397260273973,childes
pony,8.32,childes
owie,3.0,childes
tv,8.2544061302682,childes
butterfly,6.771388499298737,childes
frog,8.19921875,childes
pumpkin,5.925925925925926,childes
wolf,7.708108108108108,childes
tickle,5.543357199681782,childes
sky,8.142857142857142,childes
fireman,6.99672131147541,childes
dinner,8.125,childes
chase,8.876447876447877,childes
movie,8.426332288401253,childes
jeans,6.1,childes
helicopter,7.440251572327044,childes
tooth,6.314855875831485,childes
gentle,7.569343065693431,childes
pancake,7.0,childes
sidewalk,9.491803278688524,childes
cute,5.9,childes
drawer,8.270609318996415,childes
child's,9.694148936170214,childes
gloves,7.608974358974359,childes
slipper,6.538152610441767,childes
raisin,6.91941391941392,childes
soda,7.2314410480349345,childes
scared,9.262295081967213,childes
garden,9.082366589327146,childes
lemme,6.714285714285714,childes
cloud,5.9298245614035086,childes
motorcycle,7.2153846153846155,childes
windy,7.2,childes
popsicle,7.114093959731544,childes
shoulder,8.385150812064966,childes
oven,9.809825673534073,childes
chalk,7.640243902439025,childes
strawberry,7.9,childes
penis,6.571428571428571,childes
snack,7.528528528528528,childes
soap,6.756805807622505,childes
toothbrush,7.0,childes
aunt,8.052930056710775,childes
stroller,12.692307692307692,childes
backyard,9.894736842105264,childes
donut,7.03125,childes
lamb,6.564285714285714,childes
garbage,9.002304147465438,childes
belly,5.846153846153846,childes
grandpa,9.118421052631579,childes
pretzel,7.106870229007634,childes
pizza,6.952029520295203,childes
shorts,7.214285714285714,childes
tissue,7.78752107925801,childes
pattycake,4.2,childes
underpants,7.5,childes
vacuum,7.564516129032258,childes
buttocks,13.0,childes
lamp,6.666666666666667,childes
muffin,6.893548387096774,childes
grandma,8.923076923076923,childes
pet's,7.594594594594595,childes
shh,4.208791208791209,childes
dryer,13.1,childes
yogurt,7.936708860759493,childes
playground,10.6,childes
french,9.1,childes
yucky,4.155172413793103,childes
potty,5.826086956521739,childes
applesauce,6.863636363636363,childes
vroom,5.0,childes
lawn,8.858585858585858,childes
babysitter's,7.0,childes
cheerios,7.357142857142857,childes
cockadoodledoo,2.857142857142857,childes
teddybear,8.5,childes
