Index	age	fit_prop	fit_se	aoa	language	form	measure	lexical_category	uni_lemma	words	prop	word_bytes	CleanedWord	CleanedSingle
36	21	0.503146937048324	0.0256793632135252	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.491803278688525	69 2c 20 6d 65	i, me	i
37	22	0.569276339865144	0.024718160793671	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.548458149779736	69 2c 20 6d 65	i, me	i
38	23	0.633023698236362	0.0252905646296716	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.634042553191489	69 2c 20 6d 65	i, me	i
39	24	0.692433721850025	0.0273002793731056	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.674111675126904	69 2c 20 6d 65	i, me	i
40	25	0.746083728612774	0.0304641634828175	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.792602377807133	69 2c 20 6d 65	i, me	i
41	26	0.793170692212469	0.0344658188334797	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.772413793103448	69 2c 20 6d 65	i, me	i
42	27	0.833474676696392	0.0390485273385932	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.825484764542936	69 2c 20 6d 65	i, me	i
43	28	0.867239366502365	0.0440312356749123	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.915094339622642	69 2c 20 6d 65	i, me	i
44	29	0.895020224880788	0.0492927920806143	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.856410256410256	69 2c 20 6d 65	i, me	i
45	30	0.917540536390449	0.0547528665499979	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.885350318471338	69 2c 20 6d 65	i, me	i
46	16	0.247193479025474	0.0445409049018569	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.221505376344086	6d 69 6e 65 2c 20 6d 79	mine, my	mine
47	17	0.302694157952643	0.0393719752450448	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.248908296943231	6d 69 6e 65 2c 20 6d 79	mine, my	mine
48	18	0.364620473048393	0.034661575091861	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.361934477379095	6d 69 6e 65 2c 20 6d 79	mine, my	mine
49	19	0.43137833718818	0.0306220389414737	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.464912280701754	6d 69 6e 65 2c 20 6d 79	mine, my	mine
50	20	0.50072648172656	0.0275500613057335	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.48975791433892	6d 69 6e 65 2c 20 6d 79	mine, my	mine
51	21	0.570046687301697	0.0257936933163582	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.631147540983607	6d 69 6e 65 2c 20 6d 79	mine, my	mine
52	22	0.636724911580988	0.0256248996052499	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.698237885462555	6d 69 6e 65 2c 20 6d 79	mine, my	mine
53	23	0.698531144726684	0.0270733904894096	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.691489361702128	6d 69 6e 65 2c 20 6d 79	mine, my	mine
54	24	0.753886453245297	0.0299050763807267	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.756345177664975	6d 69 6e 65 2c 20 6d 79	mine, my	mine
55	25	0.801959169388353	0.0337738188840745	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.829590488771466	6d 69 6e 65 2c 20 6d 79	mine, my	mine
56	26	0.842602409225107	0.038367176318092	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.829885057471264	6d 69 6e 65 2c 20 6d 79	mine, my	mine
57	27	0.876192284351625	0.0434559745393539	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.853185595567867	6d 69 6e 65 2c 20 6d 79	mine, my	mine
58	28	0.903435330452846	0.0488857377528305	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.931865828092243	6d 69 6e 65 2c 20 6d 79	mine, my	mine
59	29	0.925195519488769	0.0545547533771732	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.915384615384615	6d 69 6e 65 2c 20 6d 79	mine, my	mine
60	30	0.942365019660789	0.0603956869683753	19.9895895477944	English (American)	WS	produces	function_words	1SG.POSS	mine, my	0.887898089171975	6d 69 6e 65 2c 20 6d 79	mine, my	mine
61	16	0.0100567618490372	0.111509887609318	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0	6d 79 73 65 6c 66	myself	myself
62	17	0.0137143339311577	0.101843593491671	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.0174672489082969	6d 79 73 65 6c 66	myself	myself
63	18	0.0186770415119299	0.0922806397158556	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.0171606864274571	6d 79 73 65 6c 66	myself	myself
